
> trade-imports-animals-frontend@0.0.0 format
src/server/app/sets/live-animals/journeys/linear/features/addresses/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/parties.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/party-picker/_address-picker.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/party-picker/party-picker.controller.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/party-picker/party-picker.controller.test.js 5ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/party-picker/request-params.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/party-picker/selection.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/party-picker/view-model/address-lines.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/party-picker/view-model/error-summary.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/party-picker/view-model/index.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/party-picker/view-model/pagination/index.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/party-picker/view-model/pagination/page-numbers.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/party-picker/view-model/pagination/results-href.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/resolve-parties.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/addresses/resolve-parties.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cancel-amend/cancel-amend.fit.spec.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cancel-amend/controller.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cancel-amend/controller.test.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cancel-amend/copy/copy.cy.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cancel-amend/copy/copy.en.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/cancel-amend/copy/copy.test.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/change-context.test.js 3ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/check-answers.fit.spec.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/check-answers.test.js 8ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/controller.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/copy/copy.cy.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/copy/copy.en.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/copy/copy.test.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/page.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/applicability.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/addresses/contact-address.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/addresses/roles-and-addresses.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/consignment/additional-animal-details.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/consignment/import-details.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/consignment/species/identifier-cell.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/consignment/species/identifier-columns.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/consignment/species/identifier-table.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/consignment/species/species-card-actions.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/consignment/species/species-card-rows.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/consignment/species/species-card-title.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/consignment/species/species-cards.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/consignment/species/species-text.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/consignment/species/units-for-commodity-line.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/documents.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/movement/arrival-details.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/cards/movement/transport-details.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/index.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/outstanding-parties.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/rows/change-link.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/rows/party-row.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/rows/summary-row.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/rows/value-text.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/sections/about-consignment.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/sections/addresses.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/sections/documents.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/check-answers/view-model/sections/movement.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/address/fields.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/animal-identification.controller.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/animal-identification.controller.test.js 6ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/card/error-summary.js 1ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/card/view-model.js 2ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/fields.js 0ms (unchanged)
src/server/app/sets/live-animals/journeys/linear/features/commodities/animal-identification/form/forms.js 2ms (unchanged)
